PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
95,2024-09-13,3,4,,,UCO_AVP,"Padilla, Bryan",Right,UCO_HUS,3,Bottom,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
96,2024-09-13,3,5,,,UCO_AVP,"Padilla, Bryan",Right,UCO_HUS,3,Bottom,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
97,2024-09-13,3,6,,,UCO_AVP,"Padilla, Bryan",Right,UCO_HUS,3,Bottom,0,3,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,
98,2024-09-13,4,1,,,UCO_AVP,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,1,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
99,2024-09-13,4,2,,,UCO_AVP,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,1,0,1,Slider,InPlay,Undefined,LineDrive,HomeRun,0,2,93.1,,,
100,2024-09-13,5,1,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,3,Bottom,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
101,2024-09-13,5,2,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,3,Bottom,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
102,2024-09-13,5,3,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,3,Bottom,1,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
103,2024-09-13,5,4,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,3,Bottom,1,3,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
104,2024-09-13,5,5,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,3,Bottom,1,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,
105,2024-09-13,6,1,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
106,2024-09-13,6,2,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
